Algorithm: Kruskal's MST
MST edges:
19627 23442 1
19636 42750 1
19704 48415 1
19708 43940 1
19757 42204 1
19760 45122 1
19783 29988 1
19800 39394 1
19816 27451 1
19825 21080 1
19962 34687 1
19980 27008 1
20008 44395 1
20036 41802 1
20039 29655 1
20055 43730 1
20073 33157 1
20132 25423 1
20134 44858 1
20172 20872 1
20225 45014 1
20225 46481 1
20240 22214 1
20254 22168 1
20266 41034 1
20327 47094 1
20335 37747 1
20405 48906 1
20415 24827 1
20419 43964 1
20450 28875 1
20450 33597 1
20522 48102 1
20588 23299 1
20602 33359 1
20615 23847 1
20619 48812 1
20666 23514 1
20690 22754 1
20735 48811 1
20746 48793 1
20754 43760 1
20759 27960 1
20824 40930 1
20831 31671 1
20890 22626 1
20899 45333 1
20930 25501 1
20933 31203 1
20948 40564 1
21007 23274 1
21038 35936 1
21044 21644 1
21055 26835 1
21061 47463 1
21102 44563 1
21123 42149 1
21171 40515 1
21177 42388 1
21215 44293 1
21228 28429 1
21250 35007 1
21261 25333 1
21307 26456 1
21372 47786 1
21373 24660 1
21402 27011 1
21418 25049 1
21500 27937 1
21618 48519 1
21636 37621 1
21678 39756 1
21745 38106 1
21758 27064 1
21831 38196 1
21854 40882 1
21883 43941 1
21917 28491 1
21970 24363 1
21977 41348 1
21977 42212 1
22023 30698 1
22031 29712 1
22034 41973 1
22067 23172 1
22074 44211 1
22074 49125 1
22100 36747 1
22150 28941 1
22157 22161 1
22166 40801 1
22181 37909 1
22185 41679 1
22215 28981 1
22240 29860 1
22243 22289 1
22282 24923 1
22339 34991 1
22339 43622 1
22400 36192 1
22443 42274 1
22458 39340 1
22507 27044 1
22603 40289 1
22609 35840 1
22717 34295 1
22732 26011 1
22756 43581 1
22765 33603 1
22769 42569 1
22794 28100 1
22872 36331 1
22875 32363 1
22899 25435 1
23028 35494 1
23069 48663 1
23090 29399 1
23100 39615 1
23134 38848 1
23137 31249 1
23171 34453 1
23183 32994 1
23212 37239 1
23214 25115 1
23222 43845 1
23223 36453 1
23227 43313 1
23238 43114 1
23263 47845 1
23272 33616 1
23297 41446 1
23325 24066 1
23330 39847 1
23379 39658 1
23472 37873 1
23487 40746 1
23510 29288 1
23533 48797 1
23574 30517 1
23651 36864 1
23674 36809 1
23756 33907 1
23766 23974 1
23770 34042 1
23773 43926 1
23792 31663 1
23797 48588 1
23799 33215 1
23828 25738 1
23828 37058 1
23925 35780 1
23938 26286 1
23943 30929 1
24011 38393 1
24087 33572 1
24143 28830 1
24147 42421 1
24234 27829 1
24286 35565 1
24362 27881 1
24414 28330 1
24460 38455 1
24461 44457 1
24480 32533 1
24489 33682 1
24562 42547 1
24616 43198 1
24632 27461 1
24682 32136 1
24717 31584 1
24727 33072 1
24777 32197 1
24779 35028 1
24780 36204 1
24781 26083 1
24808 33239 1
24814 49101 1
24832 47234 1
24856 25281 1
24859 46697 1
24914 33855 1
24946 46223 1
24977 33513 1
25020 36878 1
25032 30846 1
25033 48431 1
25077 39188 1
25082 43857 1
25106 29425 1
25136 25258 1
25141 38201 1
25145 41157 1
25167 40696 1
25174 33354 1
25223 45452 1
25227 26620 1
25243 44793 1
25247 49080 1
25367 34304 1
25384 33012 1
25427 43200 1
25443 29568 1
25448 47485 1
25452 33903 1
25468 31505 1
25501 47036 1
25534 28703 1
25565 34140 1
25595 46449 1
25598 25736 1
25605 35251 1
25664 41058 1
25689 48986 1
25754 29068 1
25995 43926 1
26046 33092 1
26120 41846 1
26177 33673 1
26202 44182 1
26322 30303 1
26339 32603 1
26443 30066 1
26446 48471 1
26478 30885 1
26479 38908 1
26492 45124 1
26509 49611 1
26522 27680 1
26534 27295 1
26534 32476 1
26743 44551 1
26755 41015 1
26838 38910 1
26886 46304 1
26906 38256 1
26939 38990 1
27098 28711 1
27099 28160 1
27101 32430 1
27222 39777 1
27239 30582 1
27242 38303 1
27338 44305 1
27380 49508 1
27428 32658 1
27559 39321 1
27597 46758 1
27641 33168 1
27647 41081 1
27665 45812 1
27679 40156 1
27712 32352 1
27752 35584 1
27811 40781 1
28036 40870 1
28038 43925 1
28124 30350 1
28128 41535 1
28187 47032 1
28268 28536 1
28315 46779 1
28353 28590 1
28462 41672 1
28536 49232 1
28574 35107 1
28578 42468 1
28689 42623 1
28702 40183 1
28704 29395 1
28779 45274 1
28802 31364 1
28818 42835 1
28825 41637 1
29002 29141 1
29062 38397 1
29201 31093 1
29284 35779 1
29287 37511 1
29318 47864 1
29322 46697 1
29324 30723 1
29329 30131 1
29339 48336 1
29391 39743 1
29445 47963 1
29479 34330 1
29504 46176 1
29620 46464 1
29628 49023 1
29640 36666 1
29658 45237 1
29668 44245 1
29681 44999 1
29722 35334 1
29723 32573 1
29779 34818 1
29884 46330 1
29925 39144 1
29997 36164 1
30004 43321 1
30007 37807 1
30179 34959 1
30233 43184 1
30240 30387 1
30290 44424 1
30489 31861 1
30530 35478 1
30555 32184 1
30563 38850 1
30568 33089 1
30744 39200 1
30856 41042 1
30860 33018 1
30905 31452 1
31024 48449 1
31036 35512 1
31042 36535 1
31067 37213 1
31272 45925 1
31285 39250 1
31286 44569 1
31340 44650 1
31378 41723 1
31456 44282 1
31465 35390 1
31490 38749 1
31541 43305 1
31569 40510 1
31669 48606 1
31673 44810 1
31692 48044 1
31747 40593 1
31783 37888 1
31801 33503 1
31803 36143 1
31815 35056 1
32007 32973 1
32079 35600 1
32139 41743 1
32223 39902 1
32416 34737 1
32427 49095 1
32431 49308 1
32438 45952 1
32448 48235 1
32458 35503 1
32487 39403 1
32489 46843 1
32497 41479 1
32503 49197 1
32516 47396 1
32531 47172 1
32651 46289 1
32736 44046 1
32756 41779 1
32779 48177 1
32784 45533 1
32800 34714 1
32856 36955 1
33075 38410 1
33102 35212 1
33125 38315 1
33133 47178 1
33159 43202 1
33164 36781 1
33232 45469 1
33429 47511 1
33438 36268 1
33601 35896 1
33705 46665 1
33727 48298 1
33845 46969 1
33965 39222 1
34094 40638 1
34123 47046 1
34173 35841 1
34175 40244 1
34187 44734 1
34292 41690 1
34435 34598 1
34436 46878 1
34471 49136 1
34513 45805 1
34583 46847 1
34659 49448 1
34698 46790 1
34763 41579 1
34793 41451 1
34844 35870 1
35012 36719 1
35083 36607 1
35092 37736 1
35283 37725 1
35372 40506 1
35379 45814 1
35381 39586 1
35439 46705 1
35509 48696 1
35610 41644 1
35716 40758 1
35737 35919 1
35768 49057 1
35882 44606 1
35925 36390 1
35942 41255 1
36061 39015 1
36100 47703 1
36117 49977 1
36146 44472 1
36227 44028 1
36349 45950 1
36390 47816 1
36405 36957 1
36411 47901 1
36468 46315 1
36874 41745 1
36883 49973 1
36971 43580 1
36999 38240 1
37008 47068 1
37011 48529 1
37067 46787 1
37099 42348 1
37240 49156 1
37358 42767 1
37392 41402 1
37410 46878 1
37474 44489 1
37487 45119 1
37589 39155 1
37604 43812 1
37626 40656 1
37674 47196 1
37820 40626 1
37869 48694 1
37890 46616 1
37961 47039 1
37993 38500 1
37996 39950 1
38020 38270 1
38123 47210 1
38124 43458 1
38129 49809 1
38134 46956 1
38190 44655 1
38204 47379 1
38320 39803 1
38333 46475 1
38345 43956 1
38472 45512 1
38605 45002 1
38917 42491 1
38927 46285 1
39056 49717 1
39091 41331 1
39291 40823 1
39344 45922 1
39399 46257 1
39407 43134 1
39503 40462 1
39746 45364 1
39833 44125 1
39840 48002 1
40006 45678 1
40092 42531 1
40112 43201 1
40260 44495 1
40265 41784 1
40368 41222 1
40403 44451 1
40449 43904 1
40828 41558 1
40873 49941 1
40916 44645 1
40928 40958 1
41169 48472 1
41563 47706 1
41654 49394 1
41671 45577 1
41781 49826 1
42114 42696 1
42114 49692 1
42306 42828 1
42389 45741 1
42718 43315 1
42909 49874 1
42987 48511 1
43056 47088 1
43577 46930 1
43601 43653 1
43963 48911 1
44243 48300 1
44280 44423 1
45323 49035 1
45341 48782 1
45348 49197 1
45367 45485 1
45502 47144 1
45739 47476 1
45870 46784 1
47562 48691 1
47648 48982 1
4 332 2
13 64 2
52 1648 2
56 84 2
56 1101 2
75 2184 2
105 42442 2
108 9346 2
113 2218 2
122 3732 2
123 43119 2
170 5976 2
170 9455 2
171 23107 2
173 6432 2
177 44980 2
191 2299 2
208 17644 2
210 1493 2
219 286 2
232 27557 2
245 35773 2
253 11882 2
255 23389 2
270 39593 2
274 22872 2
275 43376 2
278 5887 2
283 1195 2
295 1401 2
295 14311 2
295 20327 2
301 19645 2
303 3216 2
324 14854 2
327 6713 2
332 2306 2
349 717 2
361 48458 2
362 11756 2
362 40918 2
374 681 2
378 409 2
394 39349 2
434 13026 2
459 2292 2
479 10999 2
526 617 2
568 14682 2
571 4389 2
572 24812 2
593 896 2
601 26386 2
627 16049 2
638 10682 2
645 1749 2
645 37973 2
665 8198 2
670 21396 2
676 18043 2
709 4080 2
751 9104 2
762 6014 2
765 18858 2
769 48491 2
771 880 2
785 27665 2
787 4683 2
822 30403 2
857 7680 2
877 9043 2
915 9727 2
930 2391 2
956 31293 2
969 26525 2
974 26445 2
989 18448 2
990 1630 2
1013 8525 2
1039 5033 2
1039 18284 2
1044 38310 2
1050 5812 2
1060 44767 2
1061 2182 2
1088 6083 2
1092 3595 2
1114 12839 2
1133 32874 2
1154 5797 2
1168 23670 2
1184 1545 2
1196 15258 2
1212 33940 2
1218 36113 2
1266 3205 2
1280 12182 2
1301 14295 2
1311 44424 2
1319 2040 2
1346 6930 2
1352 3344 2
1354 15477 2
1373 3742 2
1375 4562 2
1413 12181 2
1437 10462 2
1488 35253 2
1500 33321 2
1530 2935 2
1620 9946 2
1623 49077 2
1630 18503 2
1630 20253 2
1643 46270 2
1699 24348 2
1733 38607 2
1746 28693 2
1751 11575 2
1761 20071 2
1767 7374 2
1775 3039 2
1792 43127 2
1806 6199 2
1817 4710 2
1830 5499 2
1833 26392 2
1835 49713 2
1861 2381 2
1900 18470 2
1941 25746 2
1956 12344 2
1967 12657 2
1974 20742 2
2002 15519 2
2016 45855 2
2084 14131 2
2107 18006 2
2119 3068 2
2134 47988 2
2139 17008 2
2143 44026 2
2150 11105 2
2157 8313 2
2161 5275 2
2183 38790 2
2197 8204 2
2212 38985 2
2213 31877 2
2222 46783 2
2225 9815 2
2250 41469 2
2268 2757 2
2281 13709 2
2331 7075 2
2345 5629 2
2350 14479 2
2366 4762 2
2404 36936 2
2455 11100 2
2459 39117 2
2465 22928 2
2470 6722 2
2483 4298 2
2494 4490 2
2508 4655 2
2525 42117 2
2547 18405 2
2592 11688 2
2623 20028 2
2635 26856 2
2674 42343 2
2685 5204 2
2685 22139 2
2695 32159 2
2711 9020 2
2712 47633 2
2737 39041 2
2796 25482 2
2811 8307 2
2815 43032 2
2820 14934 2
2828 26770 2
2864 3234 2
2892 3870 2
2912 20949 2
2914 34333 2
2930 42600 2
2940 32741 2
2946 6884 2
2954 13246 2
2955 4892 2
2978 10285 2
2982 6146 2
2983 29047 2
3000 30500 2
3036 38599 2
3037 15901 2
3044 21528 2
3051 3198 2
3082 19817 2
3093 10558 2
3116 40185 2
3181 3339 2
3197 5347 2
3198 38207 2
3216 5474 2
3227 9240 2
3250 45207 2
3254 8457 2
3270 35958 2
3303 6184 2
3367 14318 2
3409 9362 2
3411 4013 2
3441 4383 2
3444 39819 2
3462 49823 2
3524 42602 2
3530 6849 2
3545 4004 2
3547 18848 2
3558 15419 2
3566 23489 2
3571 15470 2
3605 38832 2
3615 24175 2
3619 9984 2
3640 39482 2
3654 25516 2
3677 39021 2
3707 4489 2
3753 41309 2
3800 29168 2
3802 45000 2
3807 9694 2
3808 4755 2
3823 4119 2
3826 45105 2
3835 7997 2
